var,ema8003,dev8003,ema0322,dev0322,ema8022,dev8022
$\sigma(Y)$,2.38,1.54,2.42,2.04,2.52,1.83
$\sigma(\Delta Y)$,1.77,1.22,2.14,2.07,2.01,1.71
$\rho(Y)$,0.72,0.68,0.62,0.46,0.68,0.56
$\rho(\Delta Y)$,-0.02,-0.18,-0.15,-0.26,-0.11,-0.26
$\sigma(C)/\sigma(Y)$,1.28,1.02,1.18,1.30,1.19,1.16
$\sigma(I)/\sigma(Y)$,4.07,3.30,2.48,2.50,3.19,2.78
$\sigma(NX/Y)$,3.39,2.91,3.19,3.60,4.57,4.08
$\rho(C; Y)$,0.74,0.74,0.79,0.88,0.78,0.82
$\rho(I; Y)$,0.78,0.57,0.71,0.65,0.77,0.59
$\rho(NY/Y; Y)$,-0.43,-0.18,-0.16,-0.09,-0.24,-0.08
